"TOA5","SUSTAINpresX4X2","CR6","5764","CR6.Std.10.02","CPU:SUSTAINpressX4X2V10_0907_13Feb2019.CR6","43802","pressure"
"TIMESTAMP","RECORD","Pressure1(1)","Pressure1(2)","Pressure1(3)","Pressure1(4)","Pressure2(1)","Pressure2(2)","Pressure2(3)","Pressure2(4)"
"TS","RN","hPa","hPa","hPa","hPa","hPa","hPa","hPa","hPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-07 20:00:13.8",4338152,-4.219469,-0.01364987,-3.794848E-05,-0.01048218,1017.751,886.8911,1018.513,1019.409
"2022-03-07 20:00:13.9",4338153,-4.219507,-0.01406194,-2.114687E-05,-0.01159746,1017.761,886.8958,1018.525,1019.425
"2022-03-07 20:00:14",4338154,-4.219533,-0.01409453,-3.823817E-05,-0.01108183,1017.771,886.8801,1018.517,1019.415
"2022-03-07 20:00:14.1",4338155,-4.219389,-0.01349054,-8.893271E-05,-0.01309802,1017.774,886.8811,1018.52,1019.434
"2022-03-07 20:00:14.2",4338156,-4.219433,-0.01334715,-6.894457E-05,-0.01440449,1017.799,886.8932,1018.526,1019.448
"2022-03-07 20:00:14.3",4338157,-4.219451,-0.01313278,-3.852785E-05,-0.01636275,1017.815,886.8993,1018.526,1019.483
"2022-03-07 20:00:14.4",4338158,-4.219518,-0.01285107,-6.865489E-05,-0.01962458,1017.845,886.8957,1018.524,1019.526
"2022-03-07 20:00:14.5",4338159,-4.219433,-0.01258963,-6.025408E-05,-0.02467231,1017.895,886.9175,1018.533,1019.592
"2022-03-07 20:00:14.6",4338160,-4.219354,-0.01272868,-5.590883E-05,-0.03089181,1017.954,886.9411,1018.544,1019.668
"2022-03-07 20:00:14.7",4338161,-4.21948,-0.0119936,-3.360324E-05,-0.03888127,1018.039,886.9672,1018.553,1019.761
"2022-03-07 20:00:14.8",4338162,-4.219465,-0.01103258,-6.373027E-05,-0.04527457,1018.099,886.991,1018.556,1019.866
